place_into_shape_sorter_color:grasp success: 0, success 0, toal 1 steps
place_into_shape_sorter_color:grasp success: 1, success 0, toal 2 steps
place_into_shape_sorter_color:grasp success: 2, success 0, toal 3 steps
place_into_shape_sorter_color:grasp success: 3, success 0, toal 4 steps
place_into_shape_sorter_color:grasp success: 4, success 0, toal 5 steps
place_into_shape_sorter_color:grasp success: 4, success 0, toal 6 steps
place_into_shape_sorter_color:grasp success: 4, success 0, toal 7 steps
place_into_shape_sorter_color:grasp success: 5, success 0, toal 8 steps
place_into_shape_sorter_color:grasp success: 6, success 0, toal 9 steps
place_into_shape_sorter_color:grasp success: 7, success 0, toal 10 steps
place_into_shape_sorter_color:grasp success: 7, success 0, toal 11 steps
place_into_shape_sorter_color:grasp success: 8, success 0, toal 12 steps
place_into_shape_sorter_color:grasp success: 8, success 0, toal 13 steps
place_into_shape_sorter_color:grasp success: 8, success 0, toal 14 steps
place_into_shape_sorter_color:grasp success: 8, success 0, toal 15 steps
place_into_shape_sorter_color:grasp success: 9, success 0, toal 16 steps
place_into_shape_sorter_color:grasp success: 9, success 0, toal 17 steps
place_into_shape_sorter_color:grasp success: 9, success 0, toal 18 steps
place_into_shape_sorter_color:grasp success: 10, success 0, toal 19 steps
place_into_shape_sorter_color:grasp success: 10, success 0, toal 20 steps
place_into_shape_sorter_color:grasp success: 10, success 0, toal 21 steps
place_into_shape_sorter_color:grasp success: 11, success 1, toal 22 steps
place_into_shape_sorter_color:grasp success: 11, success 1, toal 23 steps
place_into_shape_sorter_color:grasp success: 11, success 1, toal 24 steps
place_into_shape_sorter_color:grasp success: 12, success 2, toal 25 steps
place_into_shape_sorter_color:grasp success: 12, success 2, toal 26 steps
place_into_shape_sorter_color:grasp success: 12, success 2, toal 27 steps
place_into_shape_sorter_color:grasp success: 13, success 2, toal 28 steps
place_into_shape_sorter_color:grasp success: 14, success 3, toal 29 steps
place_into_shape_sorter_color:grasp success: 14, success 3, toal 30 steps
place_into_shape_sorter_color:grasp success: 14, success 3, toal 31 steps
place_into_shape_sorter_color:grasp success: 14, success 3, toal 32 steps
place_into_shape_sorter_color:grasp success: 14, success 3, toal 33 steps
place_into_shape_sorter_color:grasp success: 15, success 3, toal 34 steps
place_into_shape_sorter_color:grasp success: 15, success 3, toal 35 steps
place_into_shape_sorter_color:grasp success: 15, success 3, toal 36 steps
place_into_shape_sorter_color:grasp success: 16, success 3, toal 37 steps
place_into_shape_sorter_color:grasp success: 17, success 3, toal 38 steps
