pour_demo_color:grasp success: 1, success 0, toal 1 steps
pour_demo_color:grasp success: 2, success 1, toal 2 steps
pour_demo_color:grasp success: 3, success 1, toal 3 steps
pour_demo_color:grasp success: 4, success 1, toal 4 steps
pour_demo_color:grasp success: 5, success 1, toal 5 steps
pour_demo_color:grasp success: 6, success 1, toal 6 steps
pour_demo_color:grasp success: 7, success 2, toal 7 steps
pour_demo_color:grasp success: 8, success 2, toal 8 steps
pour_demo_color:grasp success: 9, success 2, toal 9 steps
pour_demo_color:grasp success: 10, success 3, toal 10 steps
pour_demo_color:grasp success: 11, success 4, toal 11 steps
pour_demo_color:grasp success: 12, success 4, toal 12 steps
pour_demo_color:grasp success: 13, success 5, toal 13 steps
pour_demo_color:grasp success: 14, success 5, toal 14 steps
pour_demo_color:grasp success: 15, success 5, toal 15 steps
pour_demo_color:grasp success: 16, success 5, toal 16 steps
pour_demo_color:grasp success: 17, success 5, toal 17 steps
pour_demo_color:grasp success: 18, success 6, toal 18 steps
pour_demo_color:grasp success: 19, success 7, toal 19 steps
pour_demo_color:grasp success: 20, success 7, toal 20 steps
pour_demo_color:grasp success: 21, success 7, toal 21 steps
pour_demo_color:grasp success: 22, success 7, toal 22 steps
pour_demo_color:grasp success: 23, success 7, toal 23 steps
pour_demo_color:grasp success: 24, success 7, toal 24 steps
pour_demo_color:grasp success: 25, success 7, toal 25 steps
pour_demo_color:grasp success: 26, success 7, toal 26 steps
pour_demo_color:grasp success: 27, success 7, toal 27 steps
pour_demo_color:grasp success: 28, success 7, toal 28 steps
pour_demo_color:grasp success: 29, success 7, toal 29 steps
pour_demo_color:grasp success: 30, success 8, toal 30 steps
pour_demo_color:grasp success: 31, success 8, toal 31 steps
pour_demo_color:grasp success: 32, success 8, toal 32 steps
pour_demo_color:grasp success: 33, success 8, toal 33 steps
pour_demo_color:grasp success: 34, success 8, toal 34 steps
pour_demo_color:grasp success: 35, success 9, toal 35 steps
pour_demo_color:grasp success: 36, success 9, toal 36 steps
pour_demo_color:grasp success: 37, success 10, toal 37 steps
pour_demo_color:grasp success: 38, success 10, toal 38 steps
pour_demo_color:grasp success: 39, success 10, toal 39 steps
pour_demo_color:grasp success: 40, success 10, toal 40 steps
pour_demo_color:grasp success: 41, success 10, toal 41 steps
pour_demo_color:grasp success: 42, success 10, toal 42 steps
pour_demo_color:grasp success: 43, success 10, toal 43 steps
pour_demo_color:grasp success: 44, success 10, toal 44 steps
pour_demo_color:grasp success: 45, success 10, toal 45 steps
pour_demo_color:grasp success: 46, success 10, toal 46 steps
pour_demo_color:grasp success: 47, success 10, toal 47 steps
pour_demo_color:grasp success: 48, success 10, toal 48 steps
pour_demo_color:grasp success: 49, success 10, toal 49 steps
pour_demo_color:grasp success: 50, success 11, toal 50 steps
pour_demo_color:grasp success: 51, success 11, toal 51 steps
pour_demo_color:grasp success: 52, success 11, toal 52 steps
pour_demo_color:grasp success: 53, success 11, toal 53 steps
pour_demo_color:grasp success: 54, success 11, toal 54 steps
pour_demo_color:grasp success: 55, success 11, toal 55 steps
pour_demo_color:grasp success: 55, success 11, toal 56 steps
pour_demo_color:grasp success: 56, success 12, toal 57 steps
pour_demo_color:grasp success: 57, success 12, toal 58 steps
pour_demo_color:grasp success: 58, success 12, toal 59 steps
pour_demo_color:grasp success: 59, success 12, toal 60 steps
pour_demo_color:grasp success: 60, success 12, toal 61 steps
pour_demo_color:grasp success: 61, success 12, toal 62 steps
pour_demo_color:grasp success: 62, success 12, toal 63 steps
pour_demo_color:grasp success: 63, success 12, toal 64 steps
pour_demo_color:grasp success: 64, success 13, toal 65 steps
pour_demo_color:grasp success: 65, success 13, toal 66 steps
