pour_demo_color:grasp success: 1, success 0, toal 1 steps
pour_demo_color:grasp success: 2, success 1, toal 2 steps
pour_demo_color:grasp success: 3, success 1, toal 3 steps
pour_demo_color:grasp success: 4, success 1, toal 4 steps
pour_demo_color:grasp success: 5, success 1, toal 5 steps
pour_demo_color:grasp success: 6, success 2, toal 6 steps
pour_demo_color:grasp success: 7, success 2, toal 7 steps
pour_demo_color:grasp success: 8, success 2, toal 8 steps
pour_demo_color:grasp success: 9, success 2, toal 9 steps
pour_demo_color:grasp success: 10, success 3, toal 10 steps
pour_demo_color:grasp success: 11, success 4, toal 11 steps
pour_demo_color:grasp success: 12, success 5, toal 12 steps
pour_demo_color:grasp success: 13, success 6, toal 13 steps
pour_demo_color:grasp success: 14, success 7, toal 14 steps
pour_demo_color:grasp success: 15, success 7, toal 15 steps
pour_demo_color:grasp success: 16, success 7, toal 16 steps
pour_demo_color:grasp success: 17, success 7, toal 17 steps
pour_demo_color:grasp success: 18, success 8, toal 18 steps
pour_demo_color:grasp success: 19, success 9, toal 19 steps
pour_demo_color:grasp success: 20, success 9, toal 20 steps
pour_demo_color:grasp success: 21, success 9, toal 21 steps
pour_demo_color:grasp success: 22, success 9, toal 22 steps
pour_demo_color:grasp success: 23, success 9, toal 23 steps
pour_demo_color:grasp success: 23, success 9, toal 24 steps
pour_demo_color:grasp success: 24, success 9, toal 25 steps
pour_demo_color:grasp success: 25, success 9, toal 26 steps
pour_demo_color:grasp success: 26, success 9, toal 27 steps
pour_demo_color:grasp success: 27, success 9, toal 28 steps
pour_demo_color:grasp success: 28, success 9, toal 29 steps
pour_demo_color:grasp success: 29, success 10, toal 30 steps
pour_demo_color:grasp success: 30, success 10, toal 31 steps
pour_demo_color:grasp success: 31, success 11, toal 32 steps
pour_demo_color:grasp success: 32, success 11, toal 33 steps
pour_demo_color:grasp success: 33, success 11, toal 34 steps
pour_demo_color:grasp success: 34, success 12, toal 35 steps
pour_demo_color:grasp success: 35, success 13, toal 36 steps
pour_demo_color:grasp success: 36, success 14, toal 37 steps
pour_demo_color:grasp success: 37, success 14, toal 38 steps
pour_demo_color:grasp success: 38, success 14, toal 39 steps
pour_demo_color:grasp success: 39, success 15, toal 40 steps
pour_demo_color:grasp success: 40, success 16, toal 41 steps
pour_demo_color:grasp success: 41, success 16, toal 42 steps
pour_demo_color:grasp success: 42, success 17, toal 43 steps
pour_demo_color:grasp success: 43, success 17, toal 44 steps
pour_demo_color:grasp success: 44, success 17, toal 45 steps
pour_demo_color:grasp success: 45, success 17, toal 46 steps
pour_demo_color:grasp success: 46, success 17, toal 47 steps
pour_demo_color:grasp success: 47, success 18, toal 48 steps
pour_demo_color:grasp success: 48, success 18, toal 49 steps
pour_demo_color:grasp success: 49, success 19, toal 50 steps
pour_demo_color:grasp success: 50, success 19, toal 51 steps
pour_demo_color:grasp success: 51, success 19, toal 52 steps
pour_demo_color:grasp success: 52, success 19, toal 53 steps
pour_demo_color:grasp success: 53, success 19, toal 54 steps
pour_demo_color:grasp success: 54, success 19, toal 55 steps
pour_demo_color:grasp success: 54, success 19, toal 56 steps
pour_demo_color:grasp success: 55, success 20, toal 57 steps
pour_demo_color:grasp success: 56, success 21, toal 58 steps
pour_demo_color:grasp success: 57, success 22, toal 59 steps
pour_demo_color:grasp success: 58, success 23, toal 60 steps
pour_demo_color:grasp success: 59, success 24, toal 61 steps
pour_demo_color:grasp success: 60, success 24, toal 62 steps
pour_demo_color:grasp success: 61, success 24, toal 63 steps
pour_demo_color:grasp success: 62, success 24, toal 64 steps
pour_demo_color:grasp success: 63, success 25, toal 65 steps
pour_demo_color:grasp success: 64, success 25, toal 66 steps
